PCS,产品名称,纸格款号,颜色,SKU,大货价格,一件代发价格,客户名称,产品分类,备注
（图片列，系统不读取）,蛇纹都市包,CITYBAG-AP1-1#,BLACK,AP1-BLACK-CITYBAG,15,30,TC,手袋,
（图片列，系统不读取）,蛇纹都市包,CITYBAG-AP1-1#,EMERALD,AP1-EMERALD-CITYBAG,15,30,TC,手袋,
（图片列，系统不读取）,蛇纹都市包,CITYBAG-AP1-1#,ROYALBLUE,AP1-ROYALBLUE-CITYBAG,15,30,TC,手袋,
（图片列，系统不读取）,蛇纹都市包,CITYBAG-AP1-1#,PURPLE,AP1-PURPLE-CITYBAG,15,30,TC,手袋,
（图片列，系统不读取）,蛇纹都市包,CITYBAG-AP1-1#,RED,AP1-RED-CITYBAG,15,30,TC,手袋,
（图片列，系统不读取）,蛇纹都市包,CITYBAG-AP1-1#,CARAMEL,AP1-CARAMEL-CITYBAG,15.8,30,TC,手袋,
（图片列，系统不读取）,鳄鱼纹枕头女包,F-0006-2,BLACK,W15U324CRC12342000011193,10,30,TC,手袋,
（图片列，系统不读取）,鳄鱼纹枕头女包,F-0006-2,LAVENDER,W15U324CRC12349000011193,15,30,TC,手袋,
（图片列，系统不读取）,鳄鱼纹枕头女包,F-0006-2,Green,W15U324CRC12347000011193,10,30,TC,手袋,
（图片列，系统不读取）,鳄鱼纹枕头女包,F-0006-2,MUSTARD,W15U324CRC12346000011193,10,30,TC,手袋,
（图片列，系统不读取）,鳄鱼纹枕头女包,F-0006-2,PINK,W15U324CRC12341200011193,10,30,TC,手袋,
（图片列，系统不读取）,鳄鱼纹枕头女包,F-0006-2,Silver,W15U324CRC12341700011193,10,30,TC,手袋,
